省份,城市,领取方式,发放时间,发放金额,领取数量
陕西,安康,APP领取,2020年4月21日至6月30日每周五,300元惠民券、全民wifi调优服务券、超市便利店满20元减10元券等多种金额,未知
河北,保定,微信小程序或实体店领取,4月1日-30日,每天400张,总额60万元
北京,北京,微信领取,4月23日起,1.5亿元,待公布
吉林,长春,银联云闪付或阿里支付宝APP抽奖,4月25日至6月末,面额设置为20元、50元、100元、500元和1000元五档，共5500万元,未知
四川,成都,天府通APP,2020.04.07-2020.04.26,每人20块钱,共100万份
重庆,重庆,微信小程序,3月27日持续至6月30日,1000万元,13万张
湖南,长沙,单位工会管理员发放,3月31日前发放完毕,湖南全省机关企事业单位工会将全年可发放的7个节日慰问费2100元中未发放部分，加上抗击疫情特别慰问费300元提前一次性发放。,未知
江苏,常州,"中吴优选,常州优选",4月30日 13:00,第三批消费含3种面额（20元、50元、100元）,每座广场每天400张
四川,德阳,http://m.cd.bendibao.com/news/110780.shtm,4月27日—4月30日,总面值500万元，每张50元,10万张
广东,东莞,小程序领取/APP领取,4月23日起,未定,未定
辽宁,大连,线上领取,4月5日-4月15日,总共发放价值400万元的消费券,每天每座万达广场400张
广东,佛山,小程序报名,4月25日9:00报名；4月26日、5月6日5月16日上午10:00摇号,总值2000万元，每个消费包含有10元、20元、70元消费券各1张，总面值100元。,分期派发约100万份
福建,福州,支付宝领取,2920年4月23日10点首轮开领,每人最多可领取50元通用消费券,160万份消费券
江西,赣州,线上领取,4月1日起,1000万元，每张50元面额。,20万张
贵州,贵阳,多彩宝APP申领,2020年4月18日至7月底,共5000万元多彩贵州消费券，每人金额不等。,共13780张
广东,广州,微信小程序或实体店领取,4月1日-30日,总额60万元,每天400张
江苏,淮安,微信小程序,2020年4月1日至30日，每天上午10时起,每张50元，总共1.92亿元,每天400张，总共384万张
海南,海口,微信领取,4月26日至6月1日,3000万（每人抽取10元、20元、50元、100元）,未知
广东,惠州,微信领取,2020年5月1日-5月30日(4月30日报名),以领到的券额为主,暂无
浙江,杭州,支付宝申领,2020年4月30日20:00,每个卡包价值30元，内含3张价值各10元的通用消费券,第六轮发放300万个卡包
江西,吉安,线上领取,4月1日起,1000万元，每张50元面额,20万张
浙江,金华,支付宝领取,2020年4月28日14:00开始 ,预计共发放500万，每名游客最多只能获得一套价值225元旅游券,发放首期60万份消费券
山东,济宁,云闪付APP领取,4月30日—7月23日每周四上午11：00,2000万元,累计发放13轮
江西,九江,线上领取,4月11-15日参与报名申领，4月16日集中摇号,2000万元,共计发放30万笔：50元20万笔、100元10万笔
山东,济南,支付宝/口碑APP领取,分别于5月3日、5月中旬、6月初分三期发放,由区财政总计投入500万元：发放购物类(200万元)、餐饮类(100万元)、文化旅游类(50万元)、汽车消费类(150万元)等四类消费券,未知
浙江,嘉兴,支付宝领取,2020年3月30日起发放,第二批400元减100元、满200元减50元,共分6轮发放，每轮发放数量不一
云南,昆明,摇号中签者即可获取,2020年4月28日、29日、30日,餐饮消费券总额4000万元，面值50元/张；旅游消费券总额4500万元，面值100元/张；体育消费券总额500万元，面值50元/张,餐饮消费券80万张；旅游消费券45万张；体育消费券10万张
