评论者,评论
occupied,午睡梦到想听这首歌，却怎么也想不起名字哈哈。梦里还有听七里香，睡醒了就开听啦
第一次告白🧡,“天青色等烟雨，而我在等你.”
余生浅末,注定还有个更适合的人来陪伴你
LOVE,好青
积极进步好青年,魅族加油
佐藤智子,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
稀饭婉清a.,色白花青的锦鲤跃然于碗底 临摹宋体落款时却惦记着你
伊利味的蒙牛,"天青色等烟雨，而我在等你，
魅族17 pro天青配色，美爆，
祝17大卖"
想要星星.,"而我路过那江南小镇惹了你~
月色被打捞起晕开了结局…
"
ㅤ,"而我路过那江南小镇惹了你~
月色被打捞起晕开了结局…
"
Curitis.,打卡
CP,我最喜欢周杰伦的歌
兔子味六月,小时候不懂，现在越看词越觉得美
想要星星.,"旋律太好了！
词也很温柔~"
想要星星.,"盛世繁华，终不过一捧黄沙。
你曾许我风流佳话，
也曾共我观赏锦绣繁花，
不过朝权低下，
空有一腔绝代风华。"
想要星星.,"而我路过那江南小镇惹了你~
月色被打捞起晕开了结局…
"
污师,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
,太好听   百听不厌：
边伟康,精选招牌歌里面听歌没有vip限制吗？
麦麦,钟兴民的编曲真的美[em]e400848[/em]
V—皇武.,景德镇，瓷器之镇
天青烟雨,素胚勾勒出青花笔锋浓转淡，瓶身描绘的牡丹一如你初妆，天青色在等烟雨，而我却在等你……你是否因为周杰伦的这首歌而总觉得景德镇这三个字是下着雨的。
天青烟雨,素胚勾勒出青花笔锋浓转淡，瓶身描绘的牡丹一如你初妆，天青色在等烟雨，而我却在等你……你是否因为周杰伦的这首歌而总觉得景德镇这三个字是下着雨的。
天青烟雨,素胚勾勒出青花笔锋浓转淡，瓶身描绘的牡丹一如你初妆，天青色在等烟雨，而我却在等你……你是否因为周杰伦的这首歌而总觉得景德镇这三个字是下着雨的。
不闻,纵使青史成灰，纵然万籁俱寂，而你，有我爱你。
Jay,青花瓷
贝勒爷,一天水门和柱间一起喝酒，水门问柱间：你这么叼没开挂吧？柱间：没有，老子要是开挂下辈子做你儿子然后父母双亡一辈子做个开挂的孤儿。然后鸣人出生了……
心上尧🌸,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
旧城以西,听了好多年了
　　　　　,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
天空の城,这是我最喜欢的周杰伦的歌
雁撞墙,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
青春住了誰,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
信仰,这旋律太美了，让人放松
没有,我猜你们一定是王卡抢到的绿钻特意来听的（我也是滑稽）
没有,我猜你们一定是王卡抢到的绿钻特意来听的（我也是滑稽）
.,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
......,基本什么歌都收费，让我原本不富裕的家庭雪上加霜[em]e400837[/em][em]e400837[/em][em]e400837[/em]
湖人不拿冠军不改名,方文山nb
simple.,nb
🎸🤟🏻BEYOND🇨🇳,记得四年级全市通考核心素养，有道题问“天青色等烟雨，而我在等你”出自什么歌曲，底下选项就有东风破和青花瓷，还有两个忘了，导致我整次考试，脑袋里单曲循环青花瓷，然后就没考好
橙子🍊,来了
橙子🍊,来了
负者歌于途,天青色等烟雨，而我在等你
WiFi,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
月清梨白绝不挂科！,圆伦的歌一定要支持！VIP一点都不怕！
若.水如金,这是我心里中国风的NO.1，然后才是《东风破》
化蝶.筑梦,....太美了，美得凄凉，一见难忘...
璀影,没钱的我买了10首歌
小小晓,我的高中时代
别找我麻烦,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
崔磊,就是贱到家的记得唧唧的记得快点快点记得积极点多旧世界觉得记得记得记得积极虚假的记得记得就是解决的见识见识
习惯性，依赖,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
习惯性，依赖,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
习惯性，依赖,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
习惯性，依赖,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
W。先生,评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，
再见2741994806,我。。[em]e400862[/em]3点多醒了，手机都没电了还在放着歌，正好到了青花瓷[em]e400824[/em]
临冬一梦,在这疯狂宇宙中，只有这首歌才能不被八千万所掀翻
偏执像风 .,以前我有个mp3买来的时候里面就只有这首歌、《青花瓷》由于家是乡下的没有电脑下载，我足足听了一个暑假。现在想起来满满都是回忆…却再也回不去了…时间从来不语，却回答了所有问题
$an• _ ~＊,方文山真的是好有才气的一个人。。。[em]e400835[/em][em]e400835[/em][em]e400835[/em]
$an• _ ~＊,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
℡在水一方,传世的青花瓷，始于胎土上淘炼出的精致；陷于素胚上勾勒出的浓意；痴于瓶身上描绘出的细腻；醉于釉色上渲染出的甜蜜；忠于瓶底上书写出的飘逸。不早一步亦不会晚一时，于茫茫人海中，“天青色等烟雨，而我在等你”。
南墙花开,还有人听这首歌吗？
南墙花开,“就当我为遇见你伏笔”
.,“就当我遇见你为伏笔.”
小小钗乖乖.,“就当我遇见你为伏笔.”
.,“就当我遇见你为伏笔.”
.,天青色是无法自己形成的，古人无法改变湿度，所以在青瓷出炉的那一瞬必须是烟雨天，釉色才会渐变成梦幻般的天青色。因此雨过天晴的瓷器极为珍惜。天青色对烟雨的等待，是对完整生命的渴望和肯定。我等你亦如天青色等烟雨。
昊天漫香,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
将你归还人海,天青色等烟雨 而我在等你
晴天,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
