,打分,标题,内容
0,5,请大家注意,我真的搞不懂了，无聊翻翻五星评论时发现五星的都是在骂打一星的。打一星的哪个不是一边骂骂咧咧一边认真听直播记笔记，一星也不是真的不懂事理啊，打五星了不起吗？一星的不过都是开玩笑罢了。再说钉钉确实不是考虑的很周到，卡的要死。上个课来来回回退出又进，但还是很卡，声音有时也会卡住。只能用手机看，用iPad或者电脑就卡到不行。打五星也不过是支持一下钉钉而已。毕竟打一星又要被喷了。
1,5,可以,别问 问就是5星
2,1,真好,学生党们一起来个一星好评吧
3,1,这款软件问题很多,激化家庭矛盾
4,5,加油💪,这个软件很好，看比QQ这个软件可以上网课，所以在一起的时候就用这个来上课，所以这个很好。
5,1,，,特别好用，声音也特别响亮，总是在我每次进入昏睡无法起来继续学习时 叫醒我，必须给予五星好评👍👍
6,1,方便大家了大家，麻烦了你我他,嘻嘻
7,1,拿好,真的，我是看你们求饶视频来的。太可爱了，一星拿好！
8,5,还不错,其实网课是在别的地方上的，虽然也有钉钉答疑吧.....但，想上就上，想不上就不上，网课也是，不上老师也不知道啊😎
9,5,道法自然,佛本是道
10,5,支持一下钉钉,钉钉这个软件也不容易，这个软件设计的很好，很适合办公学习。在停课期间，能让许多想要好好学习的人满足心愿，希望大家不要因为老师用这个软件上课就差评，我们上完课了，那这个软件怎么办？还有希望钉钉能保持这样适合办公学习的的模式，不要变的像一些软件本来是交流的平台却变得乱糟糟的，谢谢，再支持一下钉钉和钉钉的工作人员，加油！
11,5,阿里巴巴捐了10个亿，而你只会乱打分,钉钉作为一款办公软件，企业上下班打卡也很智能，生日祝福也经常有收到，不管出于哪方面都觉得钉钉很好用，更何况钉钉是因为各方面都优秀才被广泛应用，不知道大家出于什么心理故意拉低评分，希望不要再诋毁钉钉了，学计算机出身的自己深有感触开发一款软件需要多久，维持一个软件正常使用需要多久，阿里巴巴在疫情当前捐了10个亿，就冲这个我们也不要再去诋毁钉钉诋毁阿里巴巴了
12,1,沙壁,沙壁
13,1,爱死你了😘！！这么哒！！！！！,爱死你了😘！！这么哒！！！！！
